company,emotion,modality,hedges_g,ci_low,ci_high,p_value
KMI,happy,audio,0.002716804995206967,-0.28886742324259795,0.29430103323301193,0.9853305469420268
KMI,happy,text,0.03882316604848798,-0.2527888913694898,0.3304352234664657,0.7933966872005542
KMI,neutral,audio,-0.06552578830569031,-0.35718953890985616,0.22613796229847558,0.6588000852267207
KMI,neutral,text,0.09370742799499913,-0.19803955469192236,0.38545441068192066,0.5261366197205343
KMI,surprise,audio,-0.027060769627267108,-0.31865844847072045,0.2645369092161862,0.8556536476640437
KMI,surprise,text,-0.26024495321575425,-0.5530830607914305,0.032593154359921994,0.08032142691015612
KMI,disgust,audio,0.2974169844076162,0.004196130324268743,0.5906378384909636,0.0469052988318905
KMI,disgust,text,-0.02226440063021955,-0.3138576897655696,0.2693288885051305,0.8806357194570582
KMI,anger,audio,-0.03132454147741063,-0.32292683929266086,0.26027775633783956,0.8338940324203498
KMI,anger,text,0.07500020707021714,-0.21668824050311952,0.3666886546435538,0.6120379347490112
KMI,sadness,audio,-0.040121568264729277,-0.3317355274649082,0.2514923909354496,0.7871009455576877
KMI,sadness,text,0.13634569956636383,-0.15558313646134242,0.4282745355940701,0.35823337971356584
KMI,fear,audio,0.056853560055286675,-0.23479050233609744,0.3484976224466708,0.7018888588892732
KMI,fear,text,-0.06866452902771017,-0.3603360927358682,0.22300703468044789,0.6430180278979278
ABNB,happy,audio,0.184047854755834,-0.09206488202566157,0.4601605915373296,0.19645928743047664
ABNB,happy,text,-0.03150976926778785,-0.307051521559176,0.24403198302360027,0.8223764913555458
ABNB,neutral,audio,-0.02972297831847656,-0.30526282869371013,0.24581687205675704,0.8322958330381679
ABNB,neutral,text,0.10703048593362847,-0.1686930819825438,0.3827540538498007,0.45006212145260466
ABNB,surprise,audio,-0.02278803760635891,-0.2983215575468373,0.25274548233411953,0.8707547368016901
ABNB,surprise,text,0.07596722042872145,-0.1996575794439714,0.3515920203014143,0.5902951426369057
ABNB,disgust,audio,-0.06714822953721822,-0.34275109508879775,0.20845463601436132,0.6338403169042743
ABNB,disgust,text,-0.03938260678645814,-0.31493406095011517,0.23616884737719887,0.7796447611673906
ABNB,anger,audio,0.4525881561293072,0.17352543168734874,0.7316508805712656,0.0012369151259321145
ABNB,anger,text,-0.061917108232372745,-0.3375082396856243,0.21367402322087886,0.6616458380336389
ABNB,sadness,audio,-0.30099662500434204,-0.5780916495856792,-0.02390160042300493,0.03328942267090149
ABNB,sadness,text,-0.13191989336863674,-0.4077467580783334,0.1439069713410599,0.35329938035345926
ABNB,fear,audio,-0.1955243787737712,-0.4717126732571199,0.08066391570957748,0.16324694056132047
